668==668,[in position #3378->55]
669==669,[in position #2862->7]
670==670,[in position #507->1]
671==671,[in position #3190->2]
672==672,[in position #8693->24]
673==673,[in position #4210->3]
674==674,[in position #9746->1691]
675==675,[in position #2085->1]
676==676,[in position #5464->69]
677==677,[in position #8698->105]
678==678,[in position #4078->11]
679==679,[in position #359->8]
680==680,[in position #2073->122]
681==681,[in position #3761->21]
682==682,[in position #9137->16]
683==683,[in position #4029->279]
684==684,[in position #5398->9]
685==685,[in position #3252->3]
686==686,[in position #4274->655]
687==687,[in position #677->5]
688==688,[in position #7589->46]
689==689,[in position #2046->25]
690==690,[in position #3094->173]
691==691,[in position #7758->36]
692==692,[in position #2049->230]
693==693,[in position #8710->72]
694==694,[in position #3943->6]
695==695,[in position #6222->7]
696==696,[in position #5973->23]
697==697,[in position #3787->19]
698==698,[in position #7393->206]
699==699,[in position #7948->33]
700==700,[in position #1737->29]
701==701,[in position #2238->5]
702==702,[in position #3968->1477]
703==703,[in position #8916->17]
704==704,[in position #9142->32]
705==705,[in position #4959->33]
706==706,[in position #2824->12]
707==707,[in position #1003->11]
708==708,[in position #4314->3]
709==709,[in position #438->50]
710==710,[in position #8756->3058]
711==711,[in position #1894->275]
712==712,[in position #8198->85]
713==713,[in position #1675->6]
714==714,[in position #3983->48]
715==715,[in position #6087->2]
716==716,[in position #730->3]
717==717,[in position #5568->7]
718==718,[in position #3004->33]
719==719,[in position #4941->1]
720==720,[in position #5089->1]
721==721,[in position #4135->8]
722==722,[in position #3759->17]
723==723,[in position #1484->28]
724==724,[in position #6249->9]
725==725,[in position #1362->25]
726==726,[in position #8640->174]
727==727,[in position #567->218]
728==728,[in position #7874->241]
729==729,[in position #7393->206]
730==730,[in position #5443->8]
731==731,[in position #9817->2030]
732==732,[in position #2430->132]
733==733,[in position #969->445]
734==734,[in position #7444->49]
735==735,[in position #1339->2]
736==736,[in position #1181->35]
737==737,[in position #7939->22]
738==738,[in position #1783->17]
739==739,[in position #9545->801]
740==740,[in position #3284->26]
741==741,[in position #1175->2]
742==742,[in position #7394->27]
743==743,[in position #6887->1]
744==744,[in position #2456->386]
745==745,[in position #3394->333]
746==746,[in position #3052->9]
747==747,[in position #6810->2]
748==748,[in position #8491->251]
749==749,[in position #7334->16]
750==750,[in position #9780->2]
751==751,[in position #8536->5]
752==752,[in position #2914->1372]
753==753,[in position #6572->6]
754==754,[in position #2211->17]
755==755,[in position #1917->1]
756==756,[in position #7067->1917]
757==757,[in position #2384->48]
758==758,[in position #27->1]
759==759,[in position #8183->1501]
760==760,[in position #9955->656]
761==761,[in position #2768->33]
762==762,[in position #9794->9156]

ERROR->[762]disambiguation cell : 9942
disambiguationContent : 449
final cell: 26079
final value:22628
22628 != 763

764==764,[in position #8684->14]
765==765,[in position #9549->2]
766==766,[in position #7019->5]
767==767,[in position #2629->5]
768==768,[in position #9590->1133]
769==769,[in position #9664->4797]
770==770,[in position #4538->1311]
771==771,[in position #6298->16]
772==772,[in position #555->35]
773==773,[in position #472->9]
774==774,[in position #945->264]
775==775,[in position #4966->1]
776==776,[in position #854->20]
777==777,[in position #7474->45]
778==778,[in position #3670->1]
779==779,[in position #1911->17]
780==780,[in position #395->79]
781==781,[in position #9288->1]
782==782,[in position #7522->53]
783==783,[in position #1104->61]
784==784,[in position #8863->1049]
785==785,[in position #5412->24]
786==786,[in position #7652->13]
787==787,[in position #8399->133]
788==788,[in position #712->1]
789==789,[in position #6868->123]
790==790,[in position #7079->4]
791==791,[in position #6699->146]
792==792,[in position #8258->87]
793==793,[in position #169->46]
794==794,[in position #6986->106]
795==795,[in position #3903->2]
796==796,[in position #4392->30]
797==797,[in position #4728->284]
798==798,[in position #3594->112]
799==799,[in position #491->8]
800==800,[in position #5564->196]
801==801,[in position #6086->65]
802==802,[in position #5909->9]
803==803,[in position #7727->3323]
804==804,[in position #5921->54]
805==805,[in position #8381->93]
806==806,[in position #2069->34]
807==807,[in position #2513->1]
808==808,[in position #1126->4]
809==809,[in position #5622->99]
